classe,caso,resultado,duracao_segundos
com.tripcontrol.controller.AutenticacaoControllerTest,recusaEmailDuplicado,PASSOU,0.059
com.tripcontrol.controller.AutenticacaoControllerTest,autenticaComCredenciaisCorretas,PASSOU,0.099
com.tripcontrol.controller.AutenticacaoControllerTest,recusaSenhaIncorreta,PASSOU,0.098
com.tripcontrol.controller.AutenticacaoControllerTest,armazenaSomenteHash,PASSOU,0.052
com.tripcontrol.controller.ClienteControllerTest,atualizaClienteExistente,PASSOU,0.001
com.tripcontrol.controller.ClienteControllerTest,cadastraClienteValido,PASSOU,0.001
com.tripcontrol.controller.ClienteControllerTest,detectaCpfDuplicado,PASSOU,0.001
com.tripcontrol.controller.ClienteControllerTest,recusaDadosInvalidos,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,fa07DescartaRascunho,PASSOU,0.006
com.tripcontrol.controller.ItinerarioControllerTest,fa04IntervaloInvalido,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,detalhesPorTipo,PASSOU,0.002
com.tripcontrol.controller.ItinerarioControllerTest,atividadeTerminaNoMesmoDia,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,fa03DataForaDoPeriodo,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,montaCronogramaCompleto,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,fa02CadastroDeRecurso,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,buscaPacotePorTermo,PASSOU,0.002
com.tripcontrol.controller.ItinerarioControllerTest,fa04ConflitoDeHorario,PASSOU,0.0
com.tripcontrol.controller.ItinerarioControllerTest,finalizaEReabreOItinerario,PASSOU,0.0
com.tripcontrol.controller.ItinerarioControllerTest,aceitaItensConsecutivos,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,fa07DescartaSemItinerarioGravado,PASSOU,0.0
com.tripcontrol.controller.ItinerarioControllerTest,fa06ItinerarioSemItens,PASSOU,0.0
com.tripcontrol.controller.ItinerarioControllerTest,recusaRecursoInvalidoOuRepetido,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,desfazFinalizacaoQuandoPersistenciaFalha,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,fa01PacoteNaoEncontrado,PASSOU,0.001
com.tripcontrol.controller.ItinerarioControllerTest,fa05CamposObrigatorios,PASSOU,0.001
com.tripcontrol.controller.PacoteControllerTest,recusaCapacidadeAbaixoDoOcupado,PASSOU,0.002
com.tripcontrol.controller.PacoteControllerTest,calculaVagasAPartirDasReservas,PASSOU,0.001
com.tripcontrol.controller.PacoteControllerTest,detectaDuplicidade,PASSOU,0.001
com.tripcontrol.controller.PacoteControllerTest,apresentaAsTresSituacoesDoPacote,PASSOU,0.002
com.tripcontrol.controller.PacoteControllerTest,alteraCapacidadeComJustificativa,PASSOU,0.001
